Instance, Start Time, Type, NE, Alarm No, Description, Supp Info, Cancle Time, Star Rating
2931,2017-10-27 04:34:32.15,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D3 FFFF,2017-10-27 04:34:34.16,.
2932,2017-10-27 04:34:32.17,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D0 FFFF,2017-10-27 04:34:34.34,.
2933,2017-10-27 04:34:33.21,SWITCH,BCSU-1 1A003-04 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CF FFFF,2017-10-27 04:34:34.10,.
2934,2017-10-27 04:34:33.25,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CD FFFF,2017-10-27 04:34:34.17,.
489,2017-10-27 03:06:11.05,SWITCH,BCSU-2 1A003-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00C6 FFFF,2017-10-27 03:06:11.73,.
2936,2017-10-27 04:34:33.45,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D2 FFFF,2017-10-27 04:34:34.16,.
2937,2017-10-27 04:34:33.62,SWITCH,BCSU-1 1A003-04 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CE FFFF,2017-10-27 04:34:34.24,.
2938,2017-10-27 04:34:33.66,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D1 FFFF,2017-10-27 04:34:34.25,.
2797,2017-10-27 04:26:43.39,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D3 FFFF,2017-10-27 04:26:44.04,.
2940,2017-10-27 04:34:33.67,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D5 FFFF,2017-10-27 04:34:33.96,.
490,2017-10-27 03:06:11.05,SWITCH,BCSU-1 1A003-04 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CB FFFF,2017-10-27 03:06:11.78,.
491,2017-10-27 03:06:11.20,SWITCH,BCSU-10 1B004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D5 FFFF,2017-10-27 03:06:11.30,.
